date	code	name	category	ipo_price	buy_ratio	one_hand	draw_prob	firstday_performance	now_price	total_performance
	2019/01/04	01743	苍南仪表	工业用品	15.800	2.3	2	70.0%	-9.75%	14.920	-5.57%
	2019/01/03	06058	兴证国际	证券	N/A	N/A	N/A	N/A	-24.24%	0.510	-48.48%
	2019/01/03	01845	维港环保科技	环保	0.880	1.4	2	70.0%	+2.27%	0.950	+7.95%
	2018/12/31	01796	耀高控股	建筑及装修	1.050	12.0	15	50.0%	-6.67%	0.740	-29.52%
	2018/12/28	01759	中油洁能控股	石油及天然气	2.800	6.4	6	30.1%	+1.43%	3.000	+7.14%
	2018/12/28	01713	四川能投发展	供电供热	1.770	认购不足	1	100.0%	0.00%	1.770	0.00%
	2018/12/27	03978	卓越教育集团	其他支援服务	2.400	0.8	1	100.0%	0.00%	2.270	-5.42%
	2018/12/24	01877	君实生物－B	生物科技	19.380	3.8	1	100.0%	+22.55%	31.100	+60.47%
	2018/12/21	01820	济丰包装	印刷及包装	3.980	3.0	4	40.0%	0.00%	4.580	+15.08%
	2018/12/21	01762	万咖壹联	广告	3.560	2.3	2	60.0%	-15.73%	2.620	-26.40%
	2018/12/20	02892	万城控股	地产发展	1.200	认购不足	1	100.0%	+5.00%	1.250	+4.17%
	2018/12/19	01675	亚信科技	软件开发	10.500	认购不足	1	100.0%	-4.57%	8.320	-20.76%
	2018/12/17	01995	永升生活服务	物业管理及代理	1.780	0.2	1	100.0%	0.00%	4.190	+135.39%
	2018/12/17	01983	泸州银行	银行	3.180	认购不足	1	100.0%	+2.20%	3.110	-2.20%
	2018/12/14	01992	复星旅游文化	酒店及度假村	15.600	认购不足	1	100.0%	-3.97%	12.080	-22.56%
	2018/12/13	08622	华康生物医学	生物科技	0.500	130.5	30	15.0%	-6.00%	0.186	-62.80%
	2018/12/13	02359	药明康德	生物科技	68.000	0.9	1	100.0%	0.00%	71.650	+5.37%
	2018/12/12	02798	久泰邦达能源	煤炭	0.680	7.5	40	30.0%	0.00%	1.570	+130.88%
	2018/12/12	08621	METROPOLIS CAP	其他金融	0.390	36.1	30	38.0%	+41.03%	0.325	-16.67%
	2018/12/12	01837	五谷磨房	包装食品	1.620	0.4	1	100.0%	-12.35%	1.710	+5.56%
	2018/12/12	01860	汇量科技	广告	4.000	0.8	1	100.0%	-0.25%	3.660	-8.50%
	2018/12/11	03992	创毅控股	物业管理及代理	1.000	58.4	15	30.0%	-16.00%	0.900	-10.00%
	2018/12/06	03668	兖煤澳大利亚	煤炭	23.480	认购不足	1	100.0%	-0.55%	16.980	-27.68%
	2018/12/06	02168	佳兆业美好	物业管理及代理	9.380	19.4	2	70.0%	-1.49%	14.720	+56.93%
	2018/12/06	01119	创梦天地	电子商贸及互联网服务	6.600	11.6	10	35.0%	-8.64%	4.650	-29.55%
	2018/11/29	01790	达力环保	水务供应	0.580	5.3	14	40.0%	-1.72%	0.590	+1.72%
	2018/11/29	01782	飞思达科技	系统开发及信息科技顾问	N/A	N/A	N/A	N/A	-11.97%	0.850	-27.35%
	2018/11/27	01761	宝宝树集团	电子商贸及互联网服务	6.800	0.2	1	100.0%	+1.03%	3.750	-44.85%
	2018/11/26	00780	同程艺龙	旅游及观光	9.800	1.7	1	100.0%	+26.53%	15.540	+58.57%
	2018/11/19	06890	康利国际控股	钢铁	1.020	23.0	2	60.1%	+4.90%	1.080	+5.88%
	2018/11/19	02258	华滋国际海洋	基建	1.220	0.7	1	100.0%	+9.02%	1.080	-11.48%
	2018/11/13	01835	瑞威资管	投资及资产管理	5.000	4.6	1	100.0%	+4.20%	4.770	-4.60%
	2018/11/12	03616	恒达集团控股	地产发展	1.240	0.9	1	100.0%	-8.87%	1.020	-17.74%
	2018/11/07	08259	HON CORP	建筑及装修	0.500	21.5	15	40.0%	+40.00%	0.930	+86.00%
	2018/11/06	01755	新城悦服务	物业管理及代理	2.900	认购不足	1	100.0%	+3.79%	6.690	+130.69%
	2018/11/05	01712	龙资源	贵金属	2.030	0.6	1	100.0%	+3.94%	2.490	+22.66%
	2018/10/31	01801	信达生物－B	生物科技	13.980	0.1	1	100.0%	+18.60%	24.400	+74.54%
	2018/10/30	01034	富汇建筑控股	建筑及装修	0.320	11.4	11	26.0%	+43.75%	0.239	-25.31%
	2018/10/22	08611	MINDTELL TECH	系统开发及信息科技顾问	0.620	7.2	12	14.5%	+16.13%	0.180	-70.97%
	2018/10/19	01825	STERLING GP	服装	0.400	17.4	60	30.0%	-3.75%	0.160	-60.00%
	2018/10/19	01653	MOS HOUSE	建筑材料	0.190	15.6	15	13.0%	+84.21%	0.086	-54.74%
	2018/10/16	08613	东方支付集团控股	电子商贸及互联网服务	0.220	20.7	6	20.0%	+10.00%	0.169	-23.18%
	2018/10/16	01741	成志控股	建筑及装修	0.625	4.0	6	40.0%	+0.80%	1.460	+133.60%
	2018/10/15	08603	亮晴控股	美容及个人护理	0.280	12.4	25	20.0%	+46.43%	0.520	+85.71%
	2018/10/15	08516	广骏集团控股	基建	0.400	13.0	9	22.5%	+87.50%	2.660	+565.00%
	2018/10/12	08042	高奥士国际	其他支援服务	0.300	15.2	20	60.0%	-28.33%	0.085	-71.67%
	2018/10/12	01894	恒益控股	钢铁	0.850	11.5	30	25.0%	+3.53%	4.130	+385.88%
	2018/10/11	03990	美的置业	地产发展	17.000	认购不足	1	100.0%	-6.59%	21.500	+26.47%
	2018/10/11	06111	大发地产	地产发展	4.200	认购不足	1	100.0%	0.00%	5.690	+35.48%
	2018/10/11	01772	赣锋锂业	有色金属	16.500	认购不足	1	100.0%	-28.73%	10.320	-37.45%
	2018/10/11	01939	东京中央拍卖	其他支援服务	1.500	5.7	5	30.0%	+4.00%	1.020	-32.00%
	2018/10/09	01809	浦林成山	汽车及零部件	5.890	认购不足	1	100.0%	-25.64%	7.240	+22.92%
	2018/10/08	01736	中国育儿网络	电子商贸及互联网服务	N/A	N/A	N/A	N/A	-16.67%	0.260	-56.67%
	2018/10/08	01540	澳狮环球	印刷及包装	1.000	9.6	56	25.0%	-16.00%	0.700	-30.00%
	2018/10/04	01781	新昌创展控股	家具及家居用品	1.100	9.3	35	25.0%	+15.46%	0.640	-41.82%
	2018/09/28	08017	捷利交易宝	其他金融	0.640	24.9	4	30.0%	-27.34%	0.420	-34.38%
	2018/09/28	01787	山东黄金	贵金属	14.700	认购不足	1	100.0%	0.00%	15.360	+4.49%
	2018/09/27	01911	华兴资本控股	投资及资产管理	31.800	认购不足	1	100.0%	-22.33%	16.000	-49.69%
	2018/09/27	01723	港亚控股	电讯服务	1.000	5.5	9	45.1%	+112.00%	5.650	+465.00%
	2018/09/26	06862	海底捞	餐饮	17.800	4.6	2	60.0%	+0.11%	32.000	+79.78%
	2018/09/26	01748	信源企业集团	航运及港务	1.500	3.8	5	21.4%	+0.67%	1.490	-0.67%
	2018/09/20	03690	美团点评－W	电子商贸及互联网服务	69.000	0.5	1	100.0%	+5.29%	66.150	-4.13%
	2018/09/17	08619	WAC HOLDINGS	建筑及装修	0.200	12.6	25	20.0%	+245.00%	2.370	+1085.00%
	2018/09/14	02680	创升控股	证券	1.800	98.1	35	70.0%	-45.56%	1.720	-4.44%
	2018/09/14	02552	华领医药－B	药品	8.280	认购不足	1	100.0%	0.00%	6.900	-16.67%
	2018/09/13	08601	宝  控股	基建	0.400	12.1	15	19.2%	-7.50%	0.345	-13.75%
	2018/09/13	01969	中国春来	其他支援服务	2.080	0.9	1	100.0%	-16.35%	1.610	-22.60%
	2018/09/10	01615	奥邦建筑	建筑及装修	0.670	180.5	40	48.5%	-5.97%	0.305	-54.48%
	2018/09/07	08609	永续农业	农畜渔产品	0.500	21.1	10	30.0%	-21.00%	0.138	-72.40%
	2018/09/05	08482	万励达	仓储物流	0.275	14.2	3	40.0%	-9.46%	0.123	-55.27%
	2018/09/05	01869	利宝阁集团	餐饮	N/A	N/A	N/A	N/A	-7.23%	0.295	-28.92%
	2018/08/27	08210	衍汇亚洲	证券	0.255	23.0	20	50.0%	0.00%	0.186	-27.06%
	2018/08/22	01783	金仑控股	建筑及装修	0.550	723.5	300	15.0%	-10.91%	0.183	-66.73%
	2018/08/16	01725	恒达科技控股	电子消费品	1.750	419.7	60	10.0%	-17.14%	1.400	-20.00%
	2018/08/13	08475	千盛集团控股	餐饮	0.720	87.0	200	40.0%	-31.25%	0.415	-42.36%
	2018/08/08	06160	百济神州	生物科技	108.000	0.7	1	100.0%	-0.93%	76.900	-28.80%
	2018/08/08	00788	中国铁塔	电讯及网络器材	1.260	0.4	1	100.0%	0.00%	2.110	+67.46%
	2018/08/03	01765	希望教育	其他支援服务	1.920	17.4	1	100.0%	-2.60%	1.140	-40.63%
	2018/08/01	01672	歌礼制药－B	生物科技	14.000	8.1	10	40.0%	0.00%	5.550	-60.36%
	2018/07/31	01758	博骏教育	其他支援服务	2.360	236.7	1000	80.0%	+21.61%	0.850	-63.98%
	2018/07/20	02048	易居企业控股	物业管理及代理	14.380	认购不足	1	100.0%	-1.39%	9.480	-34.08%
	2018/07/19	08512	凯富善集团控股	家具及家居用品	0.295	2.6	2	80.1%	+86.44%	0.060	-79.66%
	2018/07/19	01576	齐鲁高速	公路及铁路	2.500	认购不足	1	100.0%	-8.00%	1.800	-28.00%
	2018/07/18	08525	百应租赁	其他金融	1.280	5.3	1	100.0%	+7.81%	0.390	-69.53%
	2018/07/18	08547	PACIFIC LEGEND	家具及家居用品	0.300	2.5	3	50.0%	0.00%	0.135	-55.00%
	2018/07/18	00797	第七大道	电子商贸及互联网服务	1.500	认购不足	1	100.0%	-2.00%	1.560	+4.00%
	2018/07/18	03302	光控精技	工业用品	1.170	3.7	3	85.0%	+5.13%	0.570	-51.28%
	2018/07/16	08540	胜利证券	证券	1.250	6.5	4	50.0%	+4.00%	1.280	+2.40%
	2018/07/16	08606	刑冠控股	系统开发及信息科技顾问	0.300	9.9	7	40.0%	+133.33%	0.315	+5.00%
	2018/07/16	01968	兴纺控股	纺织及制衣	1.120	13.5	15	20.0%	+156.25%	0.460	-58.93%
	2018/07/16	01715	米技国际控股	家具及家居用品	0.300	18.6	30	55.0%	+5.00%	0.400	+33.33%
	2018/07/16	01721	FSM HOLDINGS	钢铁	0.530	8.8	30	25.0%	+15.09%	0.420	-20.75%
	2018/07/13	02051	５１信用卡	其他金融	8.500	认购不足	1	100.0%	+7.06%	3.800	-55.29%
	2018/07/13	01775	精英汇集团	其他支援服务	1.080	287.7	100	40.0%	+22.22%	0.610	-43.52%
	2018/07/13	01731	其利工业集团	服饰配件及皮革	0.890	3.3	3	60.0%	+25.84%	1.160	+30.34%
	2018/07/12	06860	指尖悦动	电子商贸及互联网服务	2.070	认购不足	1	100.0%	+5.31%	0.950	-54.11%
	2018/07/12	03700	映客	休闲娱乐	3.850	1.7	1	100.0%	+10.65%	1.510	-60.78%
	2018/07/12	08219	恒伟集团控股	广告	0.250	13.7	50	30.0%	+98.00%	0.065	-74.00%
	2018/07/12	08140	人和科技	建筑及装修	0.300	11.6	7	22.1%	+63.33%	1.130	+276.67%
	2018/07/12	01760	英恒科技	汽车及零部件	2.900	6.7	1	100.0%	0.00%	3.300	+13.79%
	2018/07/12	01739	齐屹科技	建筑及装修	4.850	认购不足	1	100.0%	-6.39%	2.790	-42.47%
	2018/07/12	01996	弘阳地产	地产发展	2.280	认购不足	1	100.0%	+12.28%	2.570	+12.72%
	2018/07/12	01773	天立教育	其他支援服务	2.660	8.4	1	100.0%	+19.93%	3.240	+21.80%
	2018/07/11	01746	万顺集团控股	建筑及装修	0.520	45.4	20	70.0%	-30.77%	0.395	-24.04%
	2018/07/11	01652	福森药业	药品	2.080	2.6	7	70.0%	+22.12%	3.250	+56.25%
	2018/07/10	08502	远航港口	航运及港务	0.380	0.0	1	100.0%	+9.21%	0.300	-21.05%
	2018/07/10	06190	九江银行	银行	10.600	认购不足	1	100.0%	0.00%	10.600	0.00%
	2018/07/09	08223	紫元元	其他金融	0.760	13.6	75	30.0%	+106.58%	1.140	+50.00%
	2018/07/09	01810	小米集团－W	资讯科技器材	17.000	8.5	1	100.0%	-1.18%	9.190	-45.94%
	2018/07/06	01763	中国同辐	药品	21.600	34.2	3	80.0%	-6.94%	19.060	-11.76%
	2018/07/05	02262	梁志天设计集团	建筑及装修	0.880	124.5	10	60.0%	+30.68%	0.690	-21.59%
	2018/07/04	08305	棠记控股	建筑及装修	0.300	22.7	20	60.0%	-18.67%	0.079	-73.67%
	2018/07/04	01592	基石控股	建筑及装修	0.400	17.5	7	85.0%	-30.00%	0.275	-31.25%
	2018/06/29	06100	有才天下猎聘	其他支援服务	33.000	1.2	1	100.0%	-1.52%	20.050	-39.24%
	2018/06/28	01620	加达控股	旅游及观光	0.360	191.9	75	40.1%	-1.39%	0.228	-36.67%
	2018/06/27	08146	怡园酒业	烟酒	0.350	127.8	150	70.0%	+48.57%	0.275	-21.43%
	2018/06/27	01749	杉杉品牌	服装	3.780	148.2	30	27.0%	-7.67%	1.260	-66.67%
	2018/06/27	01587	欣融国际	食品添加剂及调味料	0.750	89.4	75	50.0%	-22.67%	0.480	-36.00%
	2018/06/26	01916	江西银行	银行	6.390	认购不足	1	100.0%	+0.31%	4.740	-25.82%
	2018/06/21	02003	维信金科	其他金融	20.000	8.4	1	100.0%	+2.25%	8.750	-56.25%
	2018/06/19	06098	碧桂园服务	物业管理及代理	N/A	N/A	N/A	N/A	0.00%	18.940	+89.40%
	2018/06/15	08357	REPUBLIC HC	医疗器械及服务	0.600	149.7	40	3.3%	+31.67%	0.750	+25.00%
	2018/06/15	01806	汇付天下	其他金融	7.500	8.7	2	70.0%	-11.73%	3.690	-50.80%
	2018/06/12	08403	天平道合	其他支援服务	0.145	115.6	20	50.0%	-4.83%	0.050	-65.52%
	2018/06/12	01751	景联集团	建筑及装修	N/A	N/A	N/A	N/A	-15.63%	0.220	-77.08%
	2018/06/07	01757	俊裕地基	建筑及装修	0.340	452.8	300	30.0%	+5.88%	0.185	-45.59%
	2018/06/01	06119	天源集团	航运及港务	0.850	15.9	6	70.0%	-11.77%	0.570	-32.94%
	2018/06/01	01451	万成集团股份	家具及家居用品	1.340	613.0	150	40.0%	+2.99%	0.710	-47.01%
	2018/05/31	08545	佰悦集团	玩具	0.350	41.9	15	9.0%	+14.29%	0.115	-67.14%
	2018/05/30	08490	骏码科技	半导体	0.580	116.5	4	40.0%	+3.45%	0.550	-5.17%
	2018/05/30	01978	叙福楼集团	餐饮	1.100	978.1	750	55.0%	+40.00%	0.660	-40.00%
	2018/05/29	03613	同仁堂国药	药品	N/A	N/A	N/A	N/A	-7.01%	13.280	-24.97%
	2018/05/29	01598	２１世纪教育	其他支援服务	1.130	107.6	20	60.0%	+51.33%	1.200	+6.19%
	2018/05/18	08536	TL NATURAL GAS	石油及天然气	0.480	275.0	500	40.0%	+2.08%	0.250	-47.92%
	2018/05/16	08521	智纺国际控股	纺织及制衣	0.580	20.3	1	100.0%	+12.07%	0.221	-61.90%
	2018/05/16	08105	皇□	其他支援服务	0.400	34.4	1	100.0%	+21.25%	0.710	+77.50%
	2018/05/11	02119	捷荣国际控股	软饮料	1.980	161.9	40	15.0%	+19.70%	1.490	-24.75%
	2018/05/11	08391	精雅印刷集团	印刷及包装	0.600	6.9	1	100.0%	+5.00%	0.325	-45.83%
	2018/05/11	01752	澳洲成峰高教	其他支援服务	0.330	15.9	1	100.0%	+19.70%	0.355	+7.58%
	2018/05/11	01742	HPC HOLDINGS	建筑及装修	0.450	52.2	1	100.0%	-10.00%	0.218	-51.56%
	2018/05/11	01750	全达电器集团控股	电气设备	0.300	22.4	1	100.0%	+3.33%	0.189	-37.00%
	2018/05/09	08527	聚利宝控股	餐饮	0.500	9.8	18	70.0%	+100.00%	1.040	+108.00%
	2018/05/04	08107	威诚国际控股	服装	0.225	31.2	10	80.0%	+77.78%	0.076	-66.22%
	2018/05/04	01833	平安好医生	医疗器械及服务	54.800	653.0	50	60.0%	0.00%	31.550	-42.43%
	2018/04/27	01671	天保能源	供电供热	1.900	1592.2	100	20.0%	-5.79%	1.230	-35.26%
	2018/04/23	08151	宝申控股	工业用品	0.480	320.6	180	60.0%	+6.25%	0.206	-57.08%
	2018/04/20	08511	ZC TECH GP	工业用品	0.650	69.1	15	50.0%	-23.85%	0.199	-69.38%
	2018/04/18	01726	HKE HOLDINGS	建筑及装修	0.550	788.0	70	20.0%	0.00%	0.480	-12.73%
	2018/04/16	08451	日光控股	美容及个人护理	0.275	83.7	15	61.8%	+3.64%	0.079	-71.27%
	2018/04/16	08507	爱世纪集团	服装	0.580	18.9	1	100.0%	-15.52%	0.192	-66.90%
	2018/04/16	08241	英记茶庄集团	软饮料	0.540	675.6	200	10.0%	+33.33%	0.214	-60.37%
	2018/04/16	08447	MS CONCEPT	餐饮	0.270	25.9	8	60.4%	+1.85%	0.066	-75.56%
	2018/03/29	08372	君百延集团	医疗器械及服务	0.335	252.4	80	35.1%	+19.40%	0.092	-72.54%
	2018/03/29	01735	泓盈控股	建筑及装修	1.500	742.9	80	50.0%	+0.67%	3.680	+145.33%
	2018/03/28	08401	源想集团	广告	1.050	203.7	25	30.0%	-15.24%	0.410	-60.95%
	2018/03/28	08448	环球印馆	印刷及包装	0.230	306.6	175	30.0%	-0.44%	0.067	-70.87%
	2018/03/28	01716	毛记葵涌	综合媒体企业	1.200	6288.0	1000	0.8%	+431.67%	1.100	-8.33%
	2018/03/28	02116	江苏创新	环保	1.250	225.4	25	40.0%	-2.40%	0.375	-70.00%
	2018/03/27	03997	电讯首科	电讯及网络器材	N/A	N/A	N/A	N/A	+0.41%	1.530	-37.55%
	2018/03/26	02779	中国新华教育	其他支援服务	3.260	31.8	3	70.0%	0.00%	2.940	-9.82%
	2018/03/23	00807	上海实业环境	环保	N/A	N/A	N/A	N/A	-2.19%	1.550	-51.56%
	2018/03/22	08168	宝积资本	其他金融	0.240	94.9	1	100.0%	+12.50%	0.084	-65.00%
	2018/03/16	06036	光丽科技	工业用品	0.500	258.1	30	30.2%	+80.00%	0.192	-61.60%
	2018/03/16	02377	博奇环保	环保	2.400	3.6	6	80.0%	-0.83%	1.180	-50.83%
	2018/03/16	02363	通达宏泰	资讯科技器材	2.300	274.3	28	20.1%	+4.35%	1.050	-54.35%
	2018/03/14	01737	亚洲实业集团	仓储物流	0.480	79.0	200	38.0%	+10.42%	0.135	-71.87%
	2018/03/14	01705	宾仕国际	包装食品	1.000	2599.5	500	3.0%	+298.00%	0.740	-26.00%
	2018/03/13	01815	金猫银猫	钟表珠宝	2.380	4.6	10	70.0%	+0.42%	0.540	-77.31%
	2018/03/08	02182	天长集团	工业用品	0.710	577.7	100	30.1%	+2.82%	0.760	+7.04%
	2018/03/05	01621	域高国际控股	石油及天然气	0.350	46.2	75	35.0%	+10.00%	0.153	-56.29%
	2018/03/02	01933	元力控股	系统开发及信息科技顾问	0.950	258.6	50	3.0%	+41.05%	0.490	-48.42%
	2018/02/28	08483	名仕快相	其他支援服务	0.310	34.0	1	100.0%	+16.13%	0.106	-65.81%
	2018/02/27	08526	荣丰集团亚洲	建筑及装修	0.380	23.7	6	80.0%	+2.63%	0.400	+5.26%
	2018/02/26	08367	倩碧控股	餐饮	0.275	13.8	60	40.1%	0.00%	0.071	-74.18%
	2018/02/23	08532	宝发控股	建筑及装修	0.280	24.3	20	70.0%	+46.43%	0.072	-74.29%
	2018/02/14	08379	汇安智能	系统开发及信息科技顾问	0.350	92.7	150	40.0%	+2.86%	0.086	-75.43%
	2018/02/14	08040	DCB控股	建筑及装修	0.750	30.9	40	50.0%	+2.67%	0.280	-62.67%
	2018/02/13	08510	TOPSTANDARDCORP	餐饮	0.350	15.1	1	100.0%	-5.71%	0.147	-58.00%
	2018/02/13	08522	德益控股	建筑及装修	0.800	34.4	8	60.1%	+1.25%	1.350	+68.75%
	2018/02/13	01183	澳能建设	建筑及装修	1.250	160.8	5	60.0%	+9.60%	1.030	-17.60%
	2018/02/13	01729	汇聚科技	电讯及网络器材	0.500	267.4	125	60.0%	-15.00%	0.600	+20.00%
	2018/02/12	08523	常满控股	建筑及装修	0.500	3.3	5	60.0%	-20.00%	0.520	+4.00%
	2018/02/12	08535	荧德控股	建筑及装修	0.170	33.8	9	20.0%	-20.00%	0.125	-26.47%
	2018/02/12	08473	弥明生活百货	美容及个人护理	0.270	136.5	20	50.0%	+3.70%	0.275	+1.85%
	2018/02/12	01690	立基工程控股	建筑及装修	N/A	N/A	N/A	N/A	-8.20%	0.188	-38.36%
	2018/02/12	01990	兴华港口	航运及港务	N/A	N/A	N/A	N/A	-24.85%	1.000	-40.83%
	2018/02/09	03319	雅生活服务	物业管理及代理	12.300	19.1	1	100.0%	-23.09%	15.520	+26.18%
	2018/02/08	08519	JIA GROUP	餐饮	0.300	84.7	30	80.0%	-15.00%	0.085	-71.67%
	2018/02/08	06829	龙升集团控股	建筑及装修	0.400	1680.1	400	10.1%	+3.75%	0.175	-56.25%
	2018/02/05	01659	海天能源	供电供热	N/A	N/A	N/A	N/A	0.00%	0.135	N/A
	2018/02/02	08450	钜京控股	印刷及包装	0.220	333.9	15	40.0%	+15.91%	0.062	-71.82%
	2018/01/29	01719	中国通商集团	航运及港务	N/A	N/A	N/A	N/A	-2.02%	0.980	N/A
	2018/01/29	01711	欧化	家具及家居用品	0.560	1638.0	400	10.0%	+185.71%	0.245	-56.25%
	2018/01/26	08456	民信国际控股	服装	0.700	18.6	7	16.5%	+17.14%	0.137	-80.43%
	2018/01/25	08395	齐家控股	家具及家居用品	0.156	27.6	5	70.0%	+19.23%	0.069	-55.77%
	2018/01/25	08136	英马斯集团	电子消费品	0.250	14.0	15	28.0%	+100.00%	0.127	-49.20%
	2018/01/22	02683	华新手袋国际控股	服饰配件及皮革	1.180	239.0	2	80.0%	+2.54%	0.570	-51.69%
	2018/01/22	01686	新意网集团	系统开发及信息科技顾问	N/A	N/A	N/A	N/A	-18.84%	6.720	N/A
	2018/01/19	08513	迎宏控股	医疗器械及服务	0.650	17.5	4	75.0%	+4.62%	0.135	-79.23%
	2018/01/19	08043	ATLINKS	电讯及网络器材	0.500	10.4	70	30.0%	+140.00%	0.177	-64.60%
	2018/01/19	01665	槟杰科达	系统开发及信息科技顾问	1.000	8.6	25	15.0%	-2.00%	1.240	+24.00%
	2018/01/18	08287	ZIONCOM	资讯科技器材	0.430	14.0	20	40.0%	-12.79%	0.275	-36.05%
	2018/01/18	02139	甘肃银行	银行	2.690	0.6	1	100.0%	+7.06%	1.900	-29.37%
	2018/01/17	08479	金泰丰国际控股	石油及天然气	0.500	12.0	1	100.0%	+24.00%	0.285	-43.00%
	2018/01/17	08371	尝高美集团	餐饮	0.920	11.3	1	100.0%	-8.70%	0.800	-13.04%
	2018/01/17	06182	乙德投资控股	建筑及装修	0.650	50.5	30	40.0%	+3.08%	0.570	-12.31%
	2018/01/16	08313	杰地集团	地产投资	0.320	6.8	30	25.0%	+1.56%	0.350	+9.38%
	2018/01/16	08285	森浩集团	服饰配件及皮革	0.430	251.0	1	100.0%	+1.16%	0.109	-74.65%
	2018/01/16	08493	龙皇集团	餐饮	0.210	10.8	25	35.0%	+1.91%	0.098	-53.33%
	2018/01/16	08487	ISP GLOBAL	资讯科技器材	0.350	10.0	15	8.8%	+122.86%	0.590	+68.57%
	2018/01/16	02448	恒宇集团	建筑及装修	1.200	15.2	1	100.0%	-17.50%	1.400	+16.67%
	2018/01/16	02292	晋安实业	地产投资	1.240	23.6	1	100.0%	+5.65%	1.190	-4.03%
	2018/01/16	06158	正荣地产	地产发展	3.990	0.8	1	100.0%	+0.25%	4.770	+19.55%
	2018/01/16	03699	光大永年	地产投资	1.410	30.4	7	80.2%	0.00%	0.730	-48.23%
	2018/01/15	03309	希玛眼科	医疗器械及服务	2.900	1568.3	300	8.0%	+76.21%	5.080	+75.17%
	2018/01/12	08509	威扬酒业控股	烟酒	0.750	12.5	15	20.0%	+6.67%	0.520	-30.67%
	2018/01/12	08350	骏溢环球金融	证券	0.400	8.1	15	30.0%	+3.75%	0.222	-44.50%
	2018/01/05	02025	瑞丰动力	汽车及零部件	1.680	16.0	10	60.5%	+1.19%	1.790	+6.55%
	2018/01/04	08506	福纺控股	机械装备及器材	0.220	114.0	1	100.0%	-14.55%	0.116	-47.27%
	2018/01/04	08501	庄皇集团公司	建筑及装修	1.560	7.6	30	40.4%	+9.62%	1.080	-30.77%
	2018/01/04	03738	阜博集团	电子商贸及互联网服务	2.580	5.0	5	30.0%	+20.16%	2.950	+14.34%
	2017/12/29	01730	LHN	物业管理及代理	1.900	4.9	1	100.0%	+71.05%	0.730	-61.58%
	2017/12/28	08422	WT集团	建筑及装修	0.220	10.0	15	48.0%	+27.27%	0.255	+15.91%
	2017/12/28	08485	竣球控股	印刷及包装	0.250	8.4	20	50.0%	+28.00%	0.085	-66.00%
	2017/12/28	00784	凌锐控股	建筑及装修	0.500	22.4	7	60.1%	0.00%	0.470	-6.00%
	2017/12/28	02708	艾伯科技	系统开发及信息科技顾问	1.500	13.9	25	30.0%	+44.00%	1.620	+8.00%
	2017/12/22	03878	VICON HOLDINGS	建筑及装修	1.200	38.3	20	80.0%	+5.00%	1.700	+41.67%
	2017/12/21	08419	AV策划推广	其他支援服务	0.550	21.1	1	100.0%	+9.09%	0.285	-48.18%
	2017/12/20	01789	爱康医疗	医疗器械及服务	1.750	20.5	2	60.0%	+50.86%	4.660	+166.29%
	2017/12/15	02022	游莱互动	电子商贸及互联网服务	0.630	7.9	6	70.2%	+7.94%	0.189	-70.00%
	2017/12/15	06877	昆仑国际金融	其他金融	N/A	N/A	N/A	N/A	0.00%	0.325	-59.38%
	2017/12/15	08377	申酉控股	纺织及制衣	0.375	29.4	8	40.0%	+4.00%	0.171	-54.40%
	2017/12/15	00839	中教控股	其他支援服务	6.450	3.0	N/A	50.0%	-1.86%	12.240	+89.77%
	2017/12/15	01722	建鹏控股	建筑及装修	0.480	39.8	45	25.0%	-15.63%	0.385	-19.79%
	2017/12/15	01727	河北建设	建筑及装修	4.460	0.0	1	100.0%	0.00%	6.210	+39.24%
	2017/12/13	08385	万里印刷	印刷及包装	0.350	37.9	20	50.0%	+4.29%	0.154	-56.00%
	2017/12/12	06090	胜捷企业	地产投资	3.180	17.8	10	80.0%	+1.89%	2.310	-27.36%
	2017/12/11	02227	守益控股	建筑及装修	0.850	111.9	8	60.0%	-18.82%	0.870	+2.35%
	2017/12/11	01475	日清食品	包装食品	3.540	32.7	1	100.0%	-4.80%	6.140	+73.45%
	2017/12/11	01417	浦江中国	物业管理及代理	1.550	209.2	20	30.0%	+3.23%	2.280	+47.10%
	2017/12/08	08429	冰雪集团	出版传媒	0.550	50.6	6	70.0%	+3.64%	0.760	+38.18%
	2017/12/08	01697	山东国信	其他金融	4.560	0.1	1	100.0%	-3.07%	0.990	-78.29%
	2017/12/07	08406	合宝丰年	休闲娱乐	0.315	41.6	20	50.0%	+31.75%	0.128	-59.37%
	2017/12/05	08495	1957 & CO.	餐饮	0.630	364.5	100	30.0%	-12.70%	0.365	-42.06%
	2017/11/23	01997	九龙仓置业	地产投资	N/A	N/A	N/A	N/A	-8.26%	50.700	-6.97%
	2017/11/23	01710	致丰工业电子	工业用品	0.620	592.0	75	30.0%	+12.90%	0.385	-37.90%
	2017/11/17	08402	GT STEEL GROUP	建筑及装修	0.540	115.2	6	21.6%	-5.56%	0.425	-21.30%
	2017/11/16	08118	濠亮环球	家具及家居用品	0.300	5.9	20	50.0%	+100.00%	0.330	+10.00%
	2017/11/16	08373	靛蓝星	建筑及装修	0.600	1.6	2	85.1%	+46.67%	0.300	-50.00%
	2017/11/16	03358	荣威国际	休闲娱乐	4.380	6.7	5	60.0%	-24.20%	3.700	-15.53%
