date	code	name	category	ipo_price	buy_ratio	one_hand	draw_prob	firstday_performance	now_price	total_performance
	2016/10/07	08231	節能元件	半導體	0.200	N/A	N/A	N/A	+1,400.00%	0.275	+37.50%
	2016/10/07	02166	芯智控股	半導體	1.830	14.5	1	100.0%	-1.64%	1.820	-0.55%
	2016/10/07	06099	招商證券	證券	12.000	4.2	1	100.0%	0.00%	12.420	+3.50%
	2016/10/06	06858	本間高爾夫	休閒娛樂	10.000	0.3	1	100.0%	+2.00%	7.450	-25.50%
	2016/10/06	01526	瑞慈醫療	醫療器械及服務	2.560	0.0	1	100.0%	-7.81%	1.820	-28.91%
	2016/09/30	01577	匯鑫小貸	其他金融	1.680	4.4	1	60.3%	+8.33%	1.770	+5.36%
	2016/09/28	01658	郵儲銀行	銀行	4.760	1.6	1	100.0%	+0.21%	4.750	-0.21%
	2016/09/28	01591	汛和集團	建築及裝修	0.130	381.0	75	1.6%	+10.77%	0.088	-32.31%
	2016/09/21	02633	雅各臣科研製藥	藥品	1.500	5.1	1	100.0%	+12.00%	2.000	+33.33%
	2016/09/12	03893	易緯集團	建築及裝修	0.150	1694.0	175	10.0%	+28.67%	0.087	-42.00%
	2016/09/12	02031	澳至尊	保健品	0.550	認購不足	1	100.0%	+5.46%	0.370	-32.73%
	2016/09/12	01885	中國優材	林木業	N/A	N/A	N/A	N/A	+7.72%	2.160	-27.52%
	2016/08/18	06178	光大證券	證券	12.680	0.7	1	100.0%	0.00%	10.820	-14.67%
	2016/08/15	01559	均安控股	基建	N/A	N/A	N/A	N/A	-9.09%	1.360	-22.73%
	2016/08/08	08300	皇璽餐飲集團	餐飲	0.150	N/A	N/A	N/A	+1,166.67%	0.120	-20.00%
	2016/08/05	08056	飲食概念	餐飲	0.450	N/A	N/A	N/A	+851.11%	0.265	-41.11%
	2016/08/01	00436	新宇環保	環保	N/A	N/A	N/A	N/A	-10.26%	0.510	-34.62%
	2016/07/20	06816	PROSPER CONS	基建	1.000	18.5	1	100.0%	+13.00%	0.620	-38.00%
	2016/07/15	02278	海藍控股	地產發展	3.960	認購不足	1	100.0%	+21.21%	4.000	+1.01%
	2016/07/15	08293	星亞控股	其他支援服務	1.000	4.3	1	100.0%	+50.00%	7.500	+650.00%
	2016/07/15	01589	中國物流資產	地產投資	3.250	認購不足	1	100.0%	+5.85%	2.760	-15.08%
	2016/07/15	02136	利福中國	超市/百貨/商城	N/A	N/A	N/A	N/A	+37.08%	3.150	+76.97%
	2016/07/14	08333	阿仕特朗金融	證券	0.600	16.3	1	100.0%	+1.67%	0.380	-36.67%
	2016/07/13	01579	頤海國際	食品添加劑及調味料	3.300	0.6	1	100.0%	-1.52%	5.060	+53.33%
	2016/07/13	01612	永勝醫療	醫療器械及服務	1.000	29.8	1	100.0%	-6.00%	0.880	-12.00%
	2016/07/13	01573	中國優質能源	煤炭	1.800	認購不足	1	100.0%	+130.00%	5.200	+188.89%
	2016/07/13	01523	珩灣科技	資訊科技器材	0.500	45.0	11	15.0%	-2.00%	1.180	+136.00%
	2016/07/13	01560	星星地產	地產發展	1.800	600.9	75	33.9%	0.00%	0.870	-51.67%
	2016/07/12	08360	利駿集團香港	建築及裝修	0.640	15.3	1	100.0%	-23.44%	0.192	-70.00%
	2016/07/12	02869	綠城服務	物業管理及代理	1.990	認購不足	1	100.0%	+10.55%	4.000	+101.01%
	2016/07/12	01586	中國力鴻	其他支援服務	0.980	35.1	8	40.0%	+1.02%	1.280	+30.61%
	2016/07/11	08328	信義香港	汽車零售及維護維修	0.700	6.5	1	100.0%	+75.71%	1.520	+117.14%
	2016/07/11	08232	CLASSIFIED GP	餐飲	0.550	N/A	N/A	N/A	+472.73%	2.710	+392.73%
	2016/07/11	01606	國銀租賃	其他金融	2.000	認購不足	1	100.0%	-7.00%	1.820	-9.00%
	2016/07/08	08229	FUTURE DATA	系統開發及信息科技顧問	0.580	N/A	N/A	N/A	+51.72%	0.355	-38.79%
	2016/07/08	08281	中國金典集團	美容及個人護理	0.430	N/A	N/A	N/A	+1.16%	0.320	-25.58%
	2016/07/08	01583	親親食品	包裝食品	N/A	N/A	N/A	N/A	-65.83%	2.250	-75.52%
	2016/07/08	03958	東方證券	證券	8.150	0.0	1	100.0%	-0.61%	8.240	+1.10%
	2016/07/06	08292	盛良物流	倉儲物流	0.350	N/A	N/A	N/A	+871.43%	1.400	+300.00%
	2016/07/06	01549	永豐集團控股	航運及港務	0.315	288.0	75	15.0%	+1.59%	0.260	-17.46%
	2016/06/30	08102	利寶閣集團	餐飲	0.355	N/A	N/A	N/A	+542.25%	7.620	+2046.48%
	2016/06/27	08280	中國數字視頻	電視廣播	1.900	1.8	1	100.0%	-10.53%	1.200	-36.84%
	2016/06/08	01420	川控股	建築及裝修	0.880	509.0	75	10.0%	+6.82%	0.415	-52.84%
	2016/06/01	02588	中銀航空租賃	航空服務	42.000	37.6	1	100.0%	0.00%	40.100	-4.52%
	2016/05/31	08161	醫匯集團	醫療器械及服務	0.270	N/A	N/A	N/A	+448.15%	0.141	-47.78%
	2016/05/30	08187	永駿國際控股	鞋類	0.500	N/A	N/A	N/A	+156.00%	0.270	-46.00%
	2016/05/19	01585	雅迪控股	汽車及零部件	1.720	認購不足	1	100.0%	-23.26%	1.960	+13.95%
	2016/05/18	08346	創新電子控股	電子元器件	0.530	N/A	N/A	N/A	+428.30%	0.275	-48.11%
	2016/05/18	03626	HSSP INTL	印刷及包裝	1.360	2181.3	350	5.0%	+91.91%	2.110	+55.15%
	2016/04/19	08251	優越集團控股	印刷及包裝	0.300	N/A	N/A	N/A	+116.67%	0.600	+100.00%
	2016/04/15	02738	華津國際控股	鋼鐵	2.380	3.3	1	100.0%	+21.01%	2.900	+21.85%
	2016/04/12	08217	聯旺集團	建築及裝修	0.260	N/A	N/A	N/A	+1,438.46%	0.455	+75.00%
	2016/04/12	08319	思博系統	資訊科技器材	0.250	N/A	N/A	N/A	+1,100.00%	0.160	-36.00%
	2016/04/12	01243	宏安地產	地產發展	0.920	2.9	1	100.0%	+14.13%	1.650	+79.35%
	2016/04/12	01982	南旋控股	紡織及制衣	1.200	12.7	1	100.0%	+6.67%	1.470	+22.50%
	2016/04/11	08359	HYPEBEAST	廣告	0.130	N/A	N/A	N/A	+707.69%	0.200	+53.85%
	2016/04/08	01496	亞積邦租賃	機械裝備及器材	0.750	471.3	50	20.0%	+21.33%	0.340	-54.67%
	2016/04/08	01469	結好金融	證券	1.000	1.6	1	100.0%	+5.00%	1.210	+21.00%
	2016/04/06	01570	偉業控股	地產發展	N/A	N/A	N/A	N/A	+24.29%	3.280	+17.14%
	2016/04/01	01419	盈健醫療	醫療器械及服務	1.380	667.3	150	12.0%	+44.20%	2.470	+78.99%
	2016/03/30	03638	華邦金融	資訊科技器材	N/A	N/A	N/A	N/A	-0.70%	0.425	-90.18%
	2016/03/30	08262	宏強控股	建築及裝修	0.330	N/A	N/A	N/A	+448.49%	0.415	+25.76%
	2016/03/30	02239	國微技術	電子消費品	3.780	17.5	1	100.0%	-15.87%	2.690	-28.84%
	2016/03/30	01578	天津銀行	銀行	7.390	認購不足	1	100.0%	0.00%	5.560	-24.76%
	2016/03/30	02016	浙商銀行	銀行	3.960	認購不足	1	100.0%	0.00%	4.150	+4.80%
	2016/03/29	08318	正利控股	建築及裝修	0.283	N/A	N/A	N/A	+698.59%	0.395	+39.58%
	2016/03/18	01557	劍虹集團控股	建築及裝修	0.950	889.0	50	32.6%	+47.37%	1.420	+49.47%
	2016/03/11	02138	香港醫思醫療集團	醫療器械及服務	3.030	2.0	1	100.0%	-1.65%	2.650	-12.54%
	2016/03/10	06833	興科蓉醫藥	藥品	0.800	6.2	1	100.0%	0.00%	0.470	-41.25%
	2016/03/08	02768	佳源國際控股	地產發展	2.480	0.3	2	90.5%	+4.03%	4.610	+85.89%
	2016/02/24	08070	僑洋國際控股	電子消費品	0.550	N/A	N/A	N/A	+129.09%	0.640	+16.36%
	2016/02/18	08345	火岩控股	電子商貿及互聯網服務	N/A	N/A	N/A	N/A	+190.00%	3.120	N/A
	2016/01/28	03963	融眾金融	其他金融	2.110	2.3	1	100.0%	+0.95%	1.020	-51.66%
	2016/01/15	01565	成實外教育	其他支援服務	2.400	認購不足	1	100.0%	+1.25%	4.780	+99.17%
	2016/01/13	08282	智傲控股	電子商貿及互聯網服務	1.250	N/A	N/A	N/A	+200.00%	0.910	-27.20%
	2016/01/13	03301	融信中國	地產發展	5.360	認購不足	1	100.0%	+4.85%	8.040	+50.00%
	2016/01/12	01459	巨匠建設	建築及裝修	1.350	4.0	1	100.0%	+40.74%	1.140	-15.56%
	2016/01/07	08113	揚宇科技	電子元器件	0.310	N/A	N/A	N/A	+219.36%	0.600	+93.55%
	2016/01/07	03773	年年卡	電訊服務	1.000	23.2	1	100.0%	+27.00%	0.790	-21.00%
	2016/01/04	03326	保發集團	鐘錶珠寶	0.930	12.1	2	70.1%	+53.76%	4.550	+389.25%
	2015/12/30	03678	弘業期貨	其他金融	2.430	0.0	1	100.0%	-18.93%	1.640	-32.51%
	2015/12/30	01799	新特能源	替代能源	8.800	認購不足	1	100.0%	0.00%	8.300	-5.68%
	2015/12/30	01548	金斯瑞生物科技	生物科技	1.310	4.0	1	100.0%	+0.76%	4.650	+254.96%
	2015/12/29	08230	中國宇天	工業用品	0.540	N/A	N/A	N/A	+103.70%	0.590	+9.26%
	2015/12/29	08331	飛尚非金屬	其他礦物	0.320	N/A	N/A	N/A	+59.38%	1.570	+390.63%
	2015/12/29	08012	環宇物流（亞洲）	倉儲物流	0.500	N/A	N/A	N/A	+38.00%	2.030	+306.00%
